event number,district,time received,shift,time dispatched,time arrived,callcode,call code description,call type,priority,unit id,is primary,address,city,latitude,longitude,geo count,geo error
16-000002,E,1/1/16 0:00,1,1/1/16 0:02,1/1/16 0:15,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E501,TRUE,301 16TH ST;  ,JERSEY CITY,40.73345947,-74.04602814,1,S5HPNTSCZA
16-000048,S,1/1/16 0:30,1,1/1/16 0:33,1/1/16 0:50,B11.00,TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,S201,TRUE,30 BERGEN AVE; 1B  ,JERSEY CITY,40.70449066,-74.08882904,1,S5HPNTSCZA
16-000056,W,1/1/16 0:36,1,1/1/16 0:38,1/1/16 0:53,A12.20,ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,W401,TRUE,262 CLENDENNY AVE; 2 (2 FL),JERSEY CITY,40.72147369,-74.08829498,1,S5HPNTSCZA
16-000060,N,1/1/16 0:39,1,1/1/16 0:41,1/1/01 0:00,D23.00,DRIVEWAY PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,N501,TRUE,48 RAVINE AVE;  ,JERSEY CITY,40.74062729,-74.04947662,1,S5HPNTSCZA
16-000065,W,1/1/16 0:42,1,1/1/16 0:43,1/1/16 0:55,D23.00,DRIVEWAY PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,W101,TRUE,72 WALLIS AVE;  ,JERSEY CITY,40.73600769,-74.07506561,1,S5HPNTSCZA
16-000091,S,1/1/16 0:54,1,1/1/16 0:56,1/1/16 0:59,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,S101,FALSE,164 STERLING AVE;  ,JERSEY CITY,40.70732498,-74.09201813,1,S5HPNTSCZA
16-000091,S,1/1/16 0:54,1,1/1/16 0:56,1/1/16 0:59,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,SPSGTM,FALSE,164 STERLING AVE;  ,JERSEY CITY,40.70732498,-74.09201813,1,S5HPNTSCZA
16-000091,S,1/1/16 0:54,1,1/1/16 0:56,1/1/16 0:59,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,S501,TRUE,164 STERLING AVE;  ,JERSEY CITY,40.70732498,-74.09201813,1,S5HPNTSCZA
16-000091,S,1/1/16 0:54,1,1/1/16 0:56,1/1/16 0:59,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,CCF3,FALSE,164 STERLING AVE;  ,JERSEY CITY,40.70732498,-74.09201813,1,S5HPNTSCZA
16-000093,S,1/1/16 0:56,1,1/1/16 0:57,1/1/16 1:03,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S101,TRUE,260 DWIGHT ST;  ,JERSEY CITY,40.7061348,-74.0878067,1,S5HPNTSCZA
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N601,FALSE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N501,FALSE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N401,FALSE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N301,TRUE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N201,FALSE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000094,N,1/1/16 0:56,1,1/1/16 0:57,1/1/16 0:56,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,N101,FALSE,HUTTON ST & CENTRAL AVE;  ,JERSEY CITY,40.74468994,-74.05027771,1,SX
16-000101,S,1/1/16 1:00,1,1/1/16 1:01,1/1/16 1:06,E17.00,FIREWORKS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S201,TRUE,41 PEARSALL AVE;  ,JERSEY CITY,40.69139099,-74.09136963,1,S5HPNTSCZA
16-000102,N,1/1/16 1:01,1,1/1/16 1:03,1/1/16 1:18,D21.00,HYDRANT PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,N101,TRUE,223 LIBERTY AVE;  ,JERSEY CITY,40.74433517,-74.06087494,1,S5HPNTSCZA
16-000103,S,1/1/16 1:01,1,1/1/16 1:04,1/1/16 1:21,G13.00,USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,S501,TRUE,327 DANFORTH AVE; (1 FL),JERSEY CITY,40.70226669,-74.09637451,1,S5HPNTSCZA
16-000105,N,1/1/16 1:03,1,1/1/16 1:05,1/1/16 1:17,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,N301,TRUE,1007 SUMMIT (SUMMIT AVE);  ,JERSEY CITY,40.74884033,-74.05056,1,S5HPNTSCZA
16-000107,E,1/1/16 1:04,1,1/1/16 1:05,1/1/16 1:20,C22.00,THEFT PROP FROM VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,6,E301,TRUE,92 SUMMIT AVE;  ,JERSEY CITY,40.71820831,-74.06745911,1,S5HPNTSCZA
16-000108,W,1/1/16 1:05,1,1/1/16 1:06,1/1/01 0:00,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W201,TRUE,62 VIRGINIA AVE;  ,JERSEY CITY,40.7127533,-74.07814026,1,S5HPNTSCZA
16-000109,S,1/1/16 1:06,1,1/1/16 1:08,1/1/16 1:13,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S301,TRUE,TERHUNE AVE & KENNEDY BLVD;  ,JERSEY CITY,40.70127106,-74.09313965,1,SX
16-000110,S,1/1/16 1:07,1,1/1/16 1:09,1/1/16 1:30,C29.00,BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,S501,TRUE,384 ARMSTRONG AVE;  ,JERSEY CITY,40.70809937,-74.09476471,1,S5HPNTSCZA
16-000111,S,1/1/16 1:09,1,1/1/16 1:11,1/1/16 1:14,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,SPSGTM,FALSE,561 GARFIELD AVE;  ,JERSEY CITY,40.70016479,-74.08000183,1,S5HPNTSCZA
16-000111,S,1/1/16 1:09,1,1/1/16 1:11,1/1/16 1:14,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,S201,TRUE,561 GARFIELD AVE;  ,JERSEY CITY,40.70016479,-74.08000183,1,S5HPNTSCZA
16-000111,S,1/1/16 1:09,1,1/1/16 1:11,1/1/16 1:14,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,S101,FALSE,561 GARFIELD AVE;  ,JERSEY CITY,40.70016479,-74.08000183,1,S5HPNTSCZA
16-000113,N,1/1/16 1:10,1,1/1/16 1:12,1/1/16 1:21,C14.00,DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,6,N601,TRUE,BOWERS ST & CAMBRIDGE AVE;  ,JERSEY CITY,40.74702072,-74.04740906,1,SX
16-000114,E,1/1/16 1:10,1,1/1/16 1:11,1/1/16 1:17,F13.00,HAZARDOUS CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,E401,FALSE,CHRISTOPHER COLUMBUS (CHRISTOPHER COLUMBUS DR) & HUDSON ST;  ,JERSEY CITY,40.71702957,-74.03397369,1,SX
16-000114,E,1/1/16 1:10,1,1/1/16 1:11,1/1/16 1:17,F13.00,HAZARDOUS CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,E101,TRUE,CHRISTOPHER COLUMBUS (CHRISTOPHER COLUMBUS DR) & HUDSON ST;  ,JERSEY CITY,40.71702957,-74.03397369,1,SX
16-000118,N,1/1/16 1:13,1,1/1/16 1:15,1/1/16 1:20,C22.00,THEFT PROP FROM VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,N401,TRUE,201 SAINT PAUL (ST PAULS AVE);  ,JERSEY CITY,40.73724365,-74.05928802,1,S5HPNTSC-A
16-000119,S,1/1/16 1:13,1,1/1/16 1:15,1/1/16 1:56,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S201,TRUE,39 BRIARWOOD RD;  ,JERSEY CITY,40.69661331,-74.10469055,1,S5HPNTSCZA
16-000121,S,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:25,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,CBCI,FALSE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-000121,S,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:25,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,SPSGTM,FALSE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-000121,S,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:25,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N201,FALSE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-000121,S,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:25,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N601,FALSE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-000121,S,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:25,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,S101,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-000122,W,1/1/16 1:17,1,1/1/16 1:19,1/1/16 1:33,H13.00,AMBULANCE REQUEST FOR; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W601,TRUE,MONTGOMERY (MONTGOMERY ST) & BERGEN AVE;  ,JERSEY CITY,40.72528076,-74.06809235,1,SX
16-000123,N,1/1/16 1:18,1,1/1/16 1:21,1/1/16 1:40,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N501,TRUE,779 NEWARK AVE; UNC: (% FL),JERSEY CITY,40.7354126,-74.06414032,1,S5HPNTSCZA
16-000126,W,1/1/16 1:23,1,1/1/16 1:25,1/1/01 0:00,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,W101,TRUE,461 BERGEN AVE; (2 FL),JERSEY CITY,40.71725845,-74.07733917,1,S5HPNTSCZA
16-000146,E,1/1/16 1:33,1,1/1/16 1:34,1/1/16 1:42,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,E601,TRUE,567 MONTGOMERY ST; UNC: (% FL),JERSEY CITY,40.72283173,-74.06143951,1,S5HPNTSCZA
16-000146,E,1/1/16 1:33,1,1/1/16 1:34,1/1/16 1:42,F18.00,GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,E301,FALSE,567 MONTGOMERY ST; UNC: (% FL),JERSEY CITY,40.72283173,-74.06143951,1,S5HPNTSCZA
16-000148,S,1/1/16 1:34,1,1/1/16 1:36,1/1/16 1:49,D23.00,DRIVEWAY PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S501,TRUE,30 STEGMAN ST;  ,JERSEY CITY,40.70171738,-74.07957459,1,S5HPNTSCZA
16-000151,S,1/1/16 1:35,1,1/1/16 1:37,1/1/16 2:20,D23.00,DRIVEWAY PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S201,TRUE,11 SUBURBIA TER;  ,JERSEY CITY,40.70287323,-74.10070801,1,S5HPNTSCZA
16-000152,W,1/1/16 1:36,1,1/1/16 1:38,1/1/16 1:47,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,W401,TRUE,17 PARK ST;  ,JERSEY CITY,40.7167511,-74.06916046,1,S5HPNTSCZA
16-000155,N,1/1/16 1:38,1,1/1/16 1:41,1/1/16 1:45,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N101,TRUE,BLEECKER ST & CENTRAL AVE;  ,JERSEY CITY,40.7497406,-74.04679108,1,SX
16-000157,S,1/1/16 1:39,1,1/1/16 1:41,1/1/16 1:55,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S301,TRUE,NEPTUNE AVE & OLD BERGEN RD;  ,JERSEY CITY,40.69327164,-74.09599304,2,SX
16-000167,E,1/1/16 1:45,1,1/1/16 1:46,1/1/16 1:45,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E301,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-000168,N,1/1/16 1:45,1,1/1/16 1:47,1/1/01 0:00,D34.00,HANDICAPPED PARKING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,N301,TRUE,78 HUTTON ST;  ,JERSEY CITY,40.74428558,-74.0490799,1,S5HPNTSCZA
16-000172,E,1/1/16 1:48,1,1/1/16 1:49,1/1/01 0:00,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,E201,TRUE,519 MANILA AVE;  ,JERSEY CITY,40.72838593,-74.04170227,1,S5HPNTSCZA
16-000173,W,1/1/16 1:48,1,1/1/16 1:50,1/1/01 0:00,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,W201,TRUE,25 GIFFORD AVE;  ,JERSEY CITY,40.72066879,-74.07444,1,S5HPNTSCZA
16-000174,E,1/1/16 1:49,1,1/1/16 1:50,1/1/16 2:00,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,E601,TRUE,328 COMMUNIPAW AVE;  ,JERSEY CITY,40.71055222,-74.06147766,1,S5HPNTSCZA
16-000174,E,1/1/16 1:49,1,1/1/16 1:50,1/1/16 2:00,E13.00,LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,E501,FALSE,328 COMMUNIPAW AVE;  ,JERSEY CITY,40.71055222,-74.06147766,1,S5HPNTSCZA
16-000175,S,1/1/16 1:49,1,1/1/16 1:51,1/1/16 1:54,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S501,TRUE,BIDWELL AVE & MARTIN LUTHER KING DR;  ,JERSEY CITY,40.70669174,-74.0839386,1,SX
16-000178,S,1/1/16 1:51,1,1/1/16 1:54,1/1/16 1:58,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S301,TRUE,115 BROWN PL; A  ,JERSEY CITY,40.69063187,-74.09318542,1,S5HPNTSCZA
16-000184,E,1/1/16 1:54,1,1/1/16 1:56,1/1/16 2:01,D17.00,INTOXICATED DRIVER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,E401,TRUE,MONTGOMERY (MONTGOMERY ST) & WARREN ST;  ,JERSEY CITY,40.71702957,-74.03909302,2,SX
16-000191,W,1/1/16 1:58,1,1/1/16 2:01,1/1/01 0:00,D17.00,INTOXICATED DRIVER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,W601,TRUE,85 VAN WAGENEN AVE;  ,JERSEY CITY,40.73313904,-74.07007599,1,S5HPNTSCZA
16-000198,S,1/1/16 2:01,1,1/1/16 2:02,1/1/16 2:19,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S301,TRUE,NEPTUNE AVE & KENNEDY BLVD;  ,JERSEY CITY,40.69623184,-74.0983429,2,SX
16-000206,N,1/1/16 2:05,1,1/1/16 2:10,1/1/01 0:00,A11.00,ASSAULT WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N501,TRUE,PALISADE AVE & NEWARK AVE;  ,JERSEY CITY,40.72991943,-74.05523682,1,SX
16-000206,N,1/1/16 2:05,1,1/1/16 2:10,1/1/01 0:00,A11.00,ASSAULT WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N401,FALSE,PALISADE AVE & NEWARK AVE;  ,JERSEY CITY,40.72991943,-74.05523682,1,SX
16-000229,E,1/1/16 2:17,1,1/1/16 2:18,1/1/01 0:00,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E101,TRUE,396 MARIN BLVD;  ,JERSEY CITY,40.72306824,-74.04066467,1,S5HPNTSC-A
16-000234,N,1/1/16 2:19,1,1/1/16 2:20,1/1/16 2:19,B22.00,PREVENT BREACH OF PEACE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,N101,TRUE,PALISADE AVE & RESERVOIR AVE;  ,JERSEY CITY,40.73804092,-74.04811096,1,SX
16-000248,S,1/1/16 2:25,1,1/1/16 2:27,1/1/16 2:30,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S501,TRUE,77 CLERK ST;  ,JERSEY CITY,40.70672226,-74.07692719,1,S5HPNTSCZA
16-000248,S,1/1/16 2:25,1,1/1/16 2:27,1/1/16 2:30,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S201,FALSE,77 CLERK ST;  ,JERSEY CITY,40.70672226,-74.07692719,1,S5HPNTSCZA
16-000251,W,1/1/16 2:29,1,1/1/16 2:31,1/1/16 2:37,B21.00,MERCHANT/CUSTOMER DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,W101,TRUE,GARFIELD AVE & UNION ST;  ,JERSEY CITY,40.71088028,-74.06986237,1,SX
16-000252,N,1/1/16 2:30,1,1/1/16 2:32,1/1/16 2:35,C14.00,DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,6,N301,TRUE,COURT HOUSE PL & BALDWIN AVE;  ,JERSEY CITY,40.73215103,-74.0559082,1,SX
16-000253,N,1/1/16 2:32,1,1/1/16 2:43,1/1/16 2:46,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N501,TRUE,456 BALDWIN AVE; (3 FL),JERSEY CITY,40.7363739,-74.05156708,1,S5HPNTSCZA
16-000253,N,1/1/16 2:32,1,1/1/16 2:43,1/1/16 2:46,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,5,N401,FALSE,456 BALDWIN AVE; (3 FL),JERSEY CITY,40.7363739,-74.05156708,1,S5HPNTSCZA
16-000257,W,1/1/16 2:34,1,1/1/16 2:36,1/1/16 2:35,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,W401,FALSE,77 CLARKE AVE;  ,JERSEY CITY,40.7171936,-74.08953094,1,S5HPNTSCZA
16-000257,W,1/1/16 2:34,1,1/1/16 2:36,1/1/16 2:35,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,W201,TRUE,77 CLARKE AVE;  ,JERSEY CITY,40.7171936,-74.08953094,1,S5HPNTSCZA
16-000262,W,1/1/16 2:38,1,1/1/16 2:41,1/1/16 2:57,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W601,TRUE,100 SKYWAY;  ,JERSEY CITY,0,0,0,NOT FOUND
16-000272,E,1/1/16 2:45,1,1/1/16 2:47,1/1/16 2:50,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,ESGT,FALSE,2 2ND ST;  ,JERSEY CITY,40.72136688,-74.03211212,1,S5HPNTSCZA
16-000272,E,1/1/16 2:45,1,1/1/16 2:47,1/1/16 2:50,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,E401,FALSE,2 2ND ST;  ,JERSEY CITY,40.72136688,-74.03211212,1,S5HPNTSCZA
16-000272,E,1/1/16 2:45,1,1/1/16 2:47,1/1/16 2:50,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,CE1M,FALSE,2 2ND ST;  ,JERSEY CITY,40.72136688,-74.03211212,1,S5HPNTSCZA
